Player Name,Points Per Game,Assists Per Game,Rebounds Per Game,Blocks Per Game,Steals Per Game,True Shooting Percentage,All Star Player?
b'Maurice Harkless',7.4,1,3.3,0.6,1.2,0.544758539,0
b'Maurice Taylor',16.8,1.5,5.3,0.6,0.3,0.503597122,0
b'Mehmet Okur',9.6,1,5.9,0.9,0.5,0.540784137,1
b'Melvin Ely',3.7,0.5,2.4,0.4,0.2,0.457920792,0
b'Metta World Peace',11.9,3,3.9,0.6,2,0.482641142,1
b'Meyers Leonard',2.5,0.5,2.8,0.1,0.2,0.496031746,0
b'Michael Beasley',14.8,1.3,6.4,0.6,1,0.504637207,0
b'Michael Doleac',7,0.8,4.1,0.4,0.4,0.491021324,0
b'Michael Kidd-Gilchrist',7.2,0.8,5.2,0.6,0.7,0.512820513,0
b'Michael Olowokandi',9.8,0.5,8.2,1.8,0.4,0.464190981,0
b'Michael Redd',11.4,1.4,3.3,0.1,0.6,0.578797725,1
b'Michael Ruffin',2.6,0.9,5.8,0.8,0.7,0.473071325,0
b'Michael Stewart',1.5,0.1,2.4,0.7,0.1,0.479539642,0
b'Micka\xc3\xabl Pi\xc3\xa9trus',9.5,1.2,2.8,0.3,0.7,0.538548753,0
b'Mike Bibby',14.5,8.1,3.7,0.2,1.6,0.520833333,0
b'Mike Conley',10.9,4.3,3.4,0.1,1.1,0.547408598,0
b'Mike Dunleavy',11.7,2.9,5.9,0.2,0.9,0.546728972,0
b'Mike James',7.8,3.2,1.9,0.1,0.8,0.470332851,0
b'Mike Miller',15.2,3.1,4.3,0.4,0.7,0.543789353,0
b'Mike Scott',9.6,0.9,3.6,0.1,0.4,0.555041628,0
b'Mo Williams',10.2,6.1,3.1,0.1,0.9,0.505952381,1
b'Monta Ellis',16.5,4.1,3.2,0.3,1.7,0.545490611,0
b'Morris Peterson',14,2.4,3.5,0.2,1.2,0.522856289,0
b'Nate Robinson',10.1,1.4,2.4,0.1,0.8,0.55082897,0
b'Nen\xc3\xaa Hil\xc3\xa1rio',11.8,2.2,6.5,0.5,1.5,0.577073552,0
b'Nick Collison',7.5,1.1,5.6,0.5,0.3,0.555720213,0
b'Nick Young',10.9,1.2,1.8,0.2,0.5,0.531396256,0
b'Nicolas Batum',10.1,1.2,3.8,0.7,0.6,0.646110542,0
b'Nikola Vu\xc4\x8devi\xc4\x87',13.1,1.9,11.9,1,0.8,0.536709276,1
b'O.J. Mayo',17.5,3,3.8,0.2,1.2,0.553517206,0
b'Omri Casspi',8.6,1,4.3,0.2,0.8,0.517075517,0
b'Pat Garrity',8.2,0.7,2.6,0.2,0.4,0.531363401,0
b'Patrick Beverley',10.2,2.7,3.5,0.4,1.4,0.543015332,0
b'Patrick Patterson',7.7,0.8,4.5,0.6,0.4,0.458551691,0
b'Patty Mills',5.5,1.7,0.8,0,0.4,0.508505917,0
b'Pau Gasol',19,2.8,8.8,1.8,0.4,0.571050733,1
b'Paul George',12.1,2.4,5.6,0.6,1.6,0.553421149,1
b'Paul Millsap',8.1,1,5.6,0.9,0.9,0.552373159,1
b'Paul Pierce',19.5,3,5.4,0.8,2.1,0.546892529,1
b'Peja Stojakovi\xc4\x87',11.9,1.4,3.7,0.1,0.7,0.560052711,1
b'Quentin Richardson',13.3,1.6,4.1,0.3,1,0.535771834,0
b'Quincy Pondexter',4.2,0.4,2,0.1,0.4,0.518262586,0
b'Raef LaFrentz',12.4,1.2,7.9,2.2,0.5,0.509198423,0
b'Rafer Alston',2.1,1.8,0.8,0,0.4,0.424071082,0
b'Raja Bell',3.4,1,1.5,0.1,0.3,0.490762125,0
b'Rajon Rondo',10.6,5.1,4.2,0.2,1.7,0.513964313,1
b'Ramon Sessions',12.4,5.7,3.4,0.1,1.1,0.526315789,0
b'Randy Foye',13.1,4.2,3.3,0.1,0.9,0.521995537,0
b'Rashard Lewis',8.2,0.9,4.1,0.4,0.8,0.542328042,1
b'Rasho Nesterovi\xc4\x87',5.7,1.1,4.6,1,0.3,0.485354223,0
b'Rasual Butler',6.8,0.5,1.4,0.3,0.2,0.58419244,0
b'Raymond Felton',14,7,3.4,0.1,1.5,0.481033535,0
b'Reggie Evans',2.9,0.4,5.4,0.1,0.7,0.470779221,0
b'Reggie Jackson',5.3,1.7,2.4,0.2,0.4,0.530424339,0
b'Reggie Williams',9.2,1.5,2.7,0,0.4,0.578761953,0
b'Richard Hamilton',18.1,2.9,3.1,0.1,1,0.508312739,1
b'Richard Jefferson',15.5,2.5,6.4,0.6,1,0.560781476,0
b'Ricky Davis',4.7,1.3,1.7,0.2,0.6,0.536040146,0
b'Ricky Rubio',10.7,7.3,4,0.1,2.4,0.48530479,0
b'Robin Lopez',8.4,0.1,4.9,1,0.2,0.617647059,0
b'Rodney Stuckey',13.4,4.9,3.5,0.1,1,0.506501361,0
b'Ron Mercer',17,2.5,3.8,0.3,1.6,0.463366768,0
b'Ronald Dupree',3.2,0.5,2,0.2,0.1,0.50955414,0
b'Ronnie Brewer',12,1.8,2.9,0.3,1.7,0.612494896,0
b'Ronnie Price',3.3,0.8,1.2,0.1,0.5,0.485865724,0
b'Ronny Turiaf',5.3,0.9,3.6,1.1,0.2,0.584215168,0
b'Roy Hibbert',11.7,2,5.7,1.6,0.4,0.535126235,1
b'Royal Ivey',3.6,1,1.3,0.1,0.3,0.471204188,0
b'Ruben Patterson',11.6,1.6,5.4,0.5,1.2,0.582329317,0
b'Rudy Gay',20.1,2,6.2,1,1.4,0.545721112,0
b'Russell Westbrook',16.1,8,4.9,0.4,1.3,0.492535487,1
b'Ryan Anderson',7.7,0.6,3.2,0.2,0.4,0.568517425,0
b'Ryan Bowen',3.4,0.5,2,0.2,0.6,0.596072931,0
b'Ryan Gomes',12.1,1.6,5.6,0.2,0.7,0.535019455,0
